City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,touros,-5.1989,-35.4608,25.09,75,100,5.39,B,1675829509
179,ketchikan,55.3422,-131.6461,1.91,92,100,1.98,U,1675829510
180,tazovskiy,67.4667,78.7,-22.79,98,100,4.24,R,1675829510
181,portland,45.5234,-122.6762,7.66,88,0,2.68,U,1675829134
182,hede,33.7681,120.2517,9.21,51,96,6.33,C,1675829511
183,balikpapan,-1.2675,116.8289,29.55,70,75,3.09,I,1675829511
184,mabaruma,8.2,-59.7833,21.63,99,25,1.02,G,1675829511
185,bitung,1.4451,125.1824,24.47,84,100,2.91,I,1675829359
186,shizunai,42.3339,142.3669,-1.67,55,92,4.67,J,1675829512
187,sinnamary,5.3833,-52.95,23.96,91,70,4.19,G,1675829512
188,skjervoy,70.0311,20.9714,3.0,66,47,8.31,N,1675829513
189,bengkulu,-3.8004,102.2655,29.4,55,74,3.85,I,1675829257
190,beloha,-25.1667,45.05,23.6,74,100,3.04,M,1675829233
191,antalaha,-14.9003,50.2788,24.19,87,89,2.05,M,1675829513
192,conceicao do araguaia,-8.2578,-49.2647,22.49,95,87,1.22,B,1675829514
193,pemangkat,1.1667,108.9667,27.65,76,94,2.65,I,1675829514
194,luanda,-8.8368,13.2343,24.27,81,100,3.21,A,1675829514
195,maturin,9.75,-63.1767,21.02,97,8,2.29,V,1675829074
196,port elizabeth,-33.918,25.5701,19.62,92,100,1.79,Z,1675829515
197,mayo,38.8876,-76.5119,10.49,83,0,2.57,U,1675829481
198,kemijarvi,66.7131,27.4306,-7.39,94,11,2.94,F,1675829515
199,owando,-0.4819,15.8999,21.48,80,40,1.29,C,1675829516
200,ocos,14.5094,-92.1933,21.1,71,12,1.49,G,1675829516
201,nalut,30.3333,10.85,13.56,42,97,4.69,L,1675829469
202,ambilobe,-13.2,49.05,23.34,93,100,0.97,M,1675829479
203,sitka,57.0531,-135.33,1.94,80,75,0.0,U,1675829517
204,caravelas,-17.7125,-39.2481,24.59,84,28,2.86,B,1675829517
205,nabire,-3.3667,135.4833,27.57,72,100,1.24,I,1675829517
206,puerto madryn,-42.7692,-65.0385,19.29,54,0,2.29,A,1675829518
207,barrow,71.2906,-156.7887,-18.99,78,100,3.09,U,1675829518
208,whitehorse,60.7161,-135.0538,-12.02,95,83,2.27,C,1675829443
209,vao,-22.6667,167.4833,26.8,71,41,6.2,N,1675829519
210,kaitangata,-46.2817,169.8464,14.92,49,21,6.62,N,1675829519
211,carnarvon,-24.8667,113.6333,30.36,49,3,6.56,A,1675829519
212,kendari,-3.945,122.4989,31.02,60,97,2.31,I,1675829520
213,klaksvik,62.2266,-6.589,7.74,82,100,25.55,F,1675829520
214,hualmay,-11.0964,-77.6139,22.39,86,26,2.44,P,1675829520
215,omagh,54.6,-7.3,4.95,97,34,4.42,G,1675829521
216,necochea,-38.5473,-58.7368,22.25,77,14,6.01,A,1675829521
217,imeni poliny osipenko,52.4201,136.4853,-21.92,84,46,3.33,R,1675829522
218,asau,46.4333,26.4,-5.49,96,98,2.27,R,1675829329
219,gat,31.61,34.7642,9.49,100,44,6.11,I,1675829329
220,cherskiy,68.75,161.3,-32.86,95,100,2.49,R,1675829527
221,santa isabel do rio negro,-0.4139,-65.0192,22.75,96,40,0.69,B,1675829530
222,longyearbyen,78.2186,15.6401,-5.09,68,40,4.12,S,1675829531
223,tambo,-14.8,-73.9167,3.42,90,99,1.67,P,1675829532
224,ilheus,-14.7889,-39.0494,23.23,85,6,1.91,B,1675829533
225,nikolsk,53.7189,46.0712,-20.32,100,100,1.51,R,1675829536
226,luderitz,-26.6481,15.1594,18.2,83,17,8.17,N,1675829537
227,severo-kurilsk,50.6789,156.125,-4.35,70,20,4.12,R,1675829538
228,ilulissat,69.2167,-51.1,-26.99,76,75,2.57,G,1675829539
229,narrabri,-30.3167,149.7833,31.96,39,0,1.34,A,1675829539
230,korla,41.7597,86.1469,0.52,77,13,1.83,C,1675829338
231,tilichiki,60.4667,166.1,-28.49,90,63,4.3,R,1675829540
232,muros,42.7762,-9.0603,5.61,81,28,6.9,E,1675829541
233,chimbote,-9.0853,-78.5783,21.94,82,24,2.21,P,1675829405
234,port blair,11.6667,92.75,28.02,69,40,4.63,I,1675829336
235,celestun,20.8667,-90.4,25.26,71,17,6.7,M,1675829544
236,khasan,42.4308,130.6434,-1.59,41,1,7.49,R,1675829545
237,sept-iles,50.2001,-66.3821,-5.53,87,100,4.02,C,1675829546
238,kharan,28.5833,65.4167,17.7,26,23,0.88,P,1675829547
239,safford,32.834,-109.7076,7.84,48,0,3.09,U,1675829555
240,abu samrah,35.3029,37.1841,2.01,79,54,1.68,S,1675829555
241,esfarayen,37.0765,57.5101,4.81,65,93,0.99,I,1675829556
242,sobolevo,54.4299,31.8996,-15.37,99,66,2.05,R,1675829556
243,chaman,30.9236,66.4512,11.99,32,90,1.83,P,1675829557
244,lorengau,-2.0226,147.2712,25.99,91,100,9.71,P,1675829557
245,jutai,-5.1833,-68.9,22.85,98,100,0.57,B,1675829558
246,cairns,-16.9167,145.7667,32.81,90,100,2.57,A,1675829558
247,san carlos de bariloche,-41.1456,-71.3082,14.02,70,0,2.16,A,1675829351
248,rio grande,-32.035,-52.0986,23.34,72,0,6.68,B,1675829559
249,kavieng,-2.5744,150.7967,27.64,78,100,4.11,P,1675829560
250,atambua,-9.1061,124.8925,27.74,72,56,2.17,I,1675829560
251,valparaiso,-33.0393,-71.6273,15.8,94,0,3.09,C,1675829560
252,biak,-0.9131,122.8766,25.62,79,100,3.16,I,1675829561
253,salvador,13.8333,-88.9167,22.81,57,39,1.09,S,1675829561
254,saskylakh,71.9167,114.0833,-33.95,100,100,0.53,R,1675829540
